cycle,sample_type,time_elapsed,parameter,delta,sample_period,estimated_distribution
0,Gibbs,20.404705875000218,10x10,0.001,750000,0.46745366666666666
0,Token,9.881882249999762,10x10,0.001,750000,0.46292066666666665
0,Gibbs,44.13046954099991,20x20,0.001,1500000,0.48486666666666667
0,Token,64.74080737500117,20x20,0.001,1500000,0.4823721111111111
0,Gibbs,180.9048843749988,50x50,0.001,2000000,0.4803510833333333
0,Token,178.4638345830026,50x50,0.001,2000000,0.48054675
0,Gibbs,20.163471957999718,10x10,0.001,750000,0.4632
0,Token,19.76972924999791,10x10,0.001,750000,0.46760066666666666
0,Gibbs,33.385931708999124,20x20,0.001,1500000,0.4832888888888889
0,Token,76.47402420800063,20x20,0.001,1500000,0.4859574285714286
0,Gibbs,150.92221858399716,50x50,0.001,2000000,0.4708934
0,Token,297.2480103329981,50x50,0.001,2000000,0.4872762
0,Gibbs,35.145492042000114,10x10,0.001,750000,0.4656190476190476
0,Token,29.60861904200283,10x10,0.001,750000,0.46833155555555556
0,Gibbs,99.34228383400114,20x20,0.001,1500000,0.4882962962962963
0,Token,21.690493124999193,20x20,0.001,1500000,0.48984266666666665
0,Gibbs,301.6250571669989,50x50,0.001,2000000,0.489875
0,Token,267.5102798750013,50x50,0.001,2000000,0.49488044444444446
0,Gibbs,10.077924332999828,10x10,0.001,750000,0.46959266666666666
0,Token,29.491276291999384,10x10,0.001,750000,0.46582066666666666
0,Gibbs,44.631997833999776,20x20,0.001,1500000,0.4917413333333333
0,Token,77.50839287499912,20x20,0.001,1500000,0.49150085714285713
0,Gibbs,150.56808891699984,50x50,0.001,2000000,0.4796467
0,Token,179.06989508400147,50x50,0.001,2000000,0.4979766666666667
0,Gibbs,20.146224416999758,10x10,0.001,750000,0.46919466666666665
0,Token,24.69011483400027,10x10,0.001,750000,0.46618506666666665
0,Gibbs,77.39787679200163,20x20,0.001,1500000,0.4870249523809524
0,Token,43.514864124997985,20x20,0.001,1500000,0.484256
