cycle,sample_type,time_elapsed,parameter,delta,sample_period,estimated_distribution
0,Gibbs,65.85988208299932,1.0,10x10,0.5160919,
0,Token,65.67178625000088,1.0,10x10,0.5161089,
0,Gibbs,73.4238853329989,1.0,20x20,0.4979671,
0,Token,72.21526537499994,1.0,20x20,0.5008141,
0,Gibbs,148.65968637499827,1.0,50x50,0.5325,
0,Token,147.5288449999989,1.0,50x50,0.5254776,
1,Gibbs,66.63536129200111,0.001,10x10,0.4938494,
1,Token,65.746777458,0.001,10x10,0.4920185,
1,Gibbs,74.47437095799978,0.001,20x20,0.52192,
1,Token,72.82867279200036,0.001,20x20,0.512214,
1,Gibbs,152.18085099999917,0.001,50x50,0.50075,
1,Token,187.0808598750009,0.001,50x50,0.49854456,
2,Gibbs,33.507684000000154,0.01,10x10,0.4838742,
2,Token,33.49284933299896,0.01,10x10,0.4830364,
2,Gibbs,39.01123395799914,0.01,20x20,0.4661814,
2,Token,38.53390729199964,0.01,20x20,0.468071,
2,Gibbs,77.37373045800086,0.01,50x50,0.5015052,
2,Token,88.56275658399863,0.01,50x50,0.52247,
3,Gibbs,26.56469712499893,0.0001,10x10,0.5006785,
3,Token,65.79239583300114,0.0001,10x10,0.5029817,
3,Gibbs,142.03885708400048,0.0001,20x20,0.5183652105263158,
3,Token,125.58686887499972,0.0001,20x20,0.5229968823529412,
3,Gibbs,167.30942966699877,0.0001,50x50,0.5163636363636364,
3,Token,624.1179835839994,0.0001,50x50,0.5213183095238095,
4,Gibbs,49.71159191699917,10x10,0.001,2500000,0.47945693333333333
4,Token,32.50596070799838,10x10,0.001,2500000,0.482516
4,Gibbs,112.10978645899922,20x20,0.001,2500000,0.48205333333333333
4,Token,73.84813054199913,20x20,0.001,2500000,0.4815711
4,Gibbs,152.4646805829998,50x50,0.001,2500000,0.53375
4,Token,225.2897218750004,50x50,0.001,2500000,0.5257685333333333
0,Gibbs,20.12697987499996,10x10,0.001,500000,0.5094723333333333
0,Token,9.966126457999053,10x10,0.001,500000,0.5106253333333334
0,Gibbs,44.526835625001695,20x20,0.001,1500000,0.5360666666666667
0,Token,54.51243608400182,20x20,0.001,1500000,0.5274829333333333
0,Gibbs,186.34100666700033,50x50,0.001,2500000,0.48116888
0,Token,222.73383329100034,50x50,0.001,2500000,0.4965634
0,Gibbs,13.64518120899811,10x10,0.001,500000,0.499795
0,Token,16.875642541999696,10x10,0.001,500000,0.5038708
0,Gibbs,33.671006083000975,20x20,0.001,1500000,0.5309333333333334
0,Token,32.94454200000109,20x20,0.001,1500000,0.5381853333333333
0,Gibbs,413.1444499579993,50x50,0.001,2500000,0.4812727272727273
0,Token,258.55198974999803,50x50,0.001,2500000,0.4866033714285714
0,Gibbs,10.22923420799998,10x10,0.001,500000,0.506748
0,Token,6.706226957998297,10x10,0.001,500000,0.498182
0,Gibbs,67.21678650000104,20x20,0.001,1500000,0.5333333333333333
0,Token,66.15889362499729,20x20,0.001,1500000,0.5316574444444444
0,Gibbs,304.3188275419998,50x50,0.001,2500000,0.49498805
0,Token,188.07706183299888,50x50,0.001,2500000,0.48428176
0,Gibbs,13.637744083000143,10x10,0.001,500000,0.5065
0,Token,10.111873791000107,10x10,0.001,500000,0.509288
0,Gibbs,100.22624579100011,20x20,0.001,1500000,0.5297481481481482
0,Token,54.96207525000136,20x20,0.001,1500000,0.5294918666666667
0,Gibbs,377.0035528749977,50x50,0.001,2500000,0.49087964
0,Token,110.04213458400045,50x50,0.001,2500000,0.5049234666666667
0,Gibbs,30.67854087500018,10x10,0.001,500000,0.5045944444444445
0,Token,16.736675416999788,10x10,0.001,500000,0.503332
0,Gibbs,56.080437291002454,20x20,0.001,1500000,0.5354126666666666
0,Token,88.91687508399991,20x20,0.001,1500000,0.53074775
0,Gibbs,186.29614404099993,50x50,0.001,2500000,0.4848
0,Token,294.50449466699865,50x50,0.001,2500000,0.4831766
