cycle,sample_type,time_elapsed,num_samples,parameter,delta,delta_trials,sample_period,estimated_distribution
0,Gibbs,307.52159529100754,45000000,10x10,0.0001,5,750000,0.5298555555555555
0,Token,263.5153299999947,39000000,10x10,0.0001,5,750000,0.5332180512820512
0,Gibbs,127.63708574997143,17000000,20x20,0.001,5,1000000,0.4892235294117647
0,Token,89.20803454201086,12000000,20x20,0.001,5,1000000,0.4935943333333333
0,Gibbs,131.87520795798628,8750000,50x50,0.01,5,1250000,0.5097142857142857
0,Token,131.03627441701246,8750000,50x50,0.01,5,1250000,0.5074417142857143
0,Gibbs,215.0301239170076,31500000,10x10,0.0001,5,750000,0.5314190476190476
0,Token,232.739148749999,34500000,10x10,0.0001,5,750000,0.5327432173913044
0,Gibbs,157.33542950000265,21000000,20x20,0.001,5,1000000,0.4946555714285714
0,Token,66.82070991699584,9000000,20x20,0.001,5,1000000,0.4929276666666666
0,Gibbs,133.35086150001734,8750000,50x50,0.01,5,1250000,0.5075401142857143
0,Token,112.77185504199588,7500000,50x50,0.01,5,1250000,0.5078653333333333
0,Gibbs,242.6710943329963,35250000,10x10,0.0001,5,750000,0.5325823829787234
0,Token,313.5542748750013,46500000,10x10,0.0001,5,750000,0.5307399139784946
0,Gibbs,150.78272074999404,20000000,20x20,0.001,5,1000000,0.4938035
0,Token,149.00107262501842,20000000,20x20,0.001,5,1000000,0.49610305
0,Gibbs,93.99365391599711,6250000,50x50,0.01,5,1250000,0.481536
0,Token,129.18139895799686,8750000,50x50,0.01,5,1250000,0.5067644571428571
0,Gibbs,426.2389545830083,62250000,10x10,0.0001,5,750000,0.5313325622489959
0,Token,238.13283924999996,35250000,10x10,0.0001,5,750000,0.5319508936170213
0,Gibbs,60.46428283400019,8000000,20x20,0.001,5,1000000,0.49057875
0,Token,89.8344439160137,12000000,20x20,0.001,5,1000000,0.49174225
0,Gibbs,132.43950237499666,8750000,50x50,0.01,5,1250000,0.4970552
0,Token,92.61139520799044,6250000,50x50,0.01,5,1250000,0.50503552
0,Gibbs,308.72656745900167,45000000,10x10,0.0001,5,750000,0.5312444444444444
0,Token,324.15429658300127,48000000,10x10,0.0001,5,750000,0.5327304791666667
0,Gibbs,167.97405491699465,22000000,20x20,0.001,5,1000000,0.4930909090909091
0,Token,98.22833758301569,13000000,20x20,0.001,5,1000000,0.4951773076923076
0,Gibbs,151.16458325000713,10000000,50x50,0.01,5,1250000,0.50225
0,Token,184.3210953749949,12500000,50x50,0.01,5,1250000,0.50954808
1,Gibbs,356.47059587499825,51750000,10x10,0.0001,5,750000,0.5221231497584541
1,Token,311.2202977499983,45750000,10x10,0.0001,5,750000,0.5217211147540983
1,Gibbs,197.34113062502,26000000,20x20,0.001,5,1000000,0.5044
1,Token,74.77735137499985,10000000,20x20,0.001,5,1000000,0.5059655
1,Gibbs,151.98161691598943,10000000,50x50,0.01,5,1250000,0.5180304
1,Token,149.56599666699185,10000000,50x50,0.01,5,1250000,0.5172727
1,Gibbs,434.60990912502166,63000000,10x10,0.0001,5,750000,0.5237190476190476
1,Token,377.2047884170024,55500000,10x10,0.0001,5,750000,0.5222533513513513
1,Gibbs,137.06876266599284,18000000,20x20,0.001,5,1000000,0.5012833333333333
1,Token,127.70702674999484,17000000,20x20,0.001,5,1000000,0.5004361764705882
1,Gibbs,228.97536058397964,15000000,50x50,0.01,5,1250000,0.5300906
1,Token,131.46553499999573,8750000,50x50,0.01,5,1250000,0.5337117714285714
1,Gibbs,305.2421908339893,44250000,10x10,0.0001,5,750000,0.5222282485875707
1,Token,433.54598441699636,63750000,10x10,0.0001,5,750000,0.5228609725490196
1,Gibbs,121.5543201249966,16000000,20x20,0.001,5,1000000,0.4977063125
1,Token,111.89896604098612,15000000,20x20,0.001,5,1000000,0.4989900666666667
1,Gibbs,172.5932043339999,11250000,50x50,0.01,5,1250000,0.5212942222222222
1,Token,94.49443654101924,6250000,50x50,0.01,5,1250000,0.52053968
1,Gibbs,282.7317464580119,41250000,10x10,0.0001,5,750000,0.5219539393939394
1,Token,172.94021091601462,25500000,10x10,0.0001,5,750000,0.5210306274509804
1,Gibbs,197.2374302079843,26000000,20x20,0.001,5,1000000,0.5038307692307692
1,Token,127.03249120898545,17000000,20x20,0.001,5,1000000,0.5028801764705882
1,Gibbs,135.26092666600016,8750000,50x50,0.01,5,1250000,0.5234796571428572
1,Token,94.97346725000534,6250000,50x50,0.01,5,1250000,0.52365008
1,Gibbs,283.561477167008,41250000,10x10,0.0001,5,750000,0.5212630303030303
1,Token,346.4552996669954,51000000,10x10,0.0001,5,750000,0.5224734509803921
1,Gibbs,160.00203104200773,21000000,20x20,0.001,5,1000000,0.5014580476190477
1,Token,127.84437450001133,17000000,20x20,0.001,5,1000000,0.5043382352941177
1,Gibbs,153.4035302500124,10000000,50x50,0.01,5,1250000,0.52
1,Token,131.44132104198798,8750000,50x50,0.01,5,1250000,0.5241250285714286
2,Gibbs,328.6220471659908,48000000,10x10,0.0001,5,750000,0.4822
2,Token,196.76525120800943,29250000,10x10,0.0001,5,750000,0.4841857094017094
2,Gibbs,113.555010415992,15000000,20x20,0.001,5,1000000,0.503381
2,Token,142.3768467080081,19000000,20x20,0.001,5,1000000,0.5082454736842106
2,Gibbs,95.5280272079981,6250000,50x50,0.01,5,1250000,0.5468
2,Token,169.00649025000166,11250000,50x50,0.01,5,1250000,0.5462049777777778
2,Gibbs,410.2099867500074,59250000,10x10,0.0001,5,750000,0.48308354430379746
2,Token,267.45864616599283,39000000,10x10,0.0001,5,750000,0.4835012051282051
2,Gibbs,145.8913287089963,19000000,20x20,0.001,5,1000000,0.5063116315789473
2,Token,135.81640745900222,18000000,20x20,0.001,5,1000000,0.5093309444444445
2,Gibbs,171.43890104201273,11250000,50x50,0.01,5,1250000,0.5462222222222223
2,Token,112.46062949998304,7500000,50x50,0.01,5,1250000,0.5518385333333333
2,Gibbs,284.44457095800317,41250000,10x10,0.0001,5,750000,0.4822394909090909
2,Token,332.55785720798303,48750000,10x10,0.0001,5,750000,0.48444886153846156
